lemma;lemma-href;;
afkorting;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00113.php;Klik;
aflevering;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00114.php;Klik;
aflijnen;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01310.php;Klik;
aforisme;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00014.php;Klik;
afscheidslied;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02427.php;Klik;
afschrift;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01248.php;Klik;
afschrijven;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00117.php;Klik;
afschrijver;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01249.php;Klik;
afsetter;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02632.php;Klik;
afwijking;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03178.php;Klik;
afzetter;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02632.php;Klik;
agitprop;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03378.php;Klik;
agnitio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00120.php;Klik;
agoon;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03383.php;Klik;
akmeïsme;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03384.php;Klik;
aksant;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00121.php;Klik;
akte-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00122.php;Klik;
akte-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00123.php;Klik;
alba;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00634.php;Klik;
album;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00124.php;Klik;
album academicum;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00125.php;Klik;
album amicorum;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00126.php;Klik;
album promotorum;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00127.php;Klik;
album studiosorum;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00128.php;Klik;
alcaïsche versmaat;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03385.php;Klik;
alcmanisch vers;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03385.php;Klik;
aldicht;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00015.php;Klik;
Alexanderroman;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02531.php;Klik;
alexandrijn;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01995.php;Klik;
alfabet;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00130.php;Klik;
alfabetisch schrift;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00131.php;Klik;
algemene literatuurwetenschap;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00017.php;Klik;
alinea;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00132.php;Klik;
alleenspraak;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02170.php;Klik;
allegorese;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00019.php;Klik;
allegorie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00020.php;Klik;
alliteratie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01996.php;Klik;
alliterative revival;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04988.php;Klik;
allochtonenliteratuur;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04881.php;Klik;
allocutio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00169.php;Klik;
allodiëgetisch;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04894.php;Klik;
allofoon;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00134.php;Klik;
allograaf-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00135.php;Klik;
allograaf-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00136.php;Klik;
allografeem;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00137.php;Klik;
allogram;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00138.php;Klik;
alloniem;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00723.php;Klik;
allusie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00021.php;Klik;
allusio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00021.php;Klik;
almanak;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00724.php;Klik;
als-vergelijking;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02935.php;Klik;
altaargedicht;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00718.php;Klik;
altercatio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03287.php;Klik;
alternering;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01997.php;Klik;
Alterslied;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00141.php;Klik;
alwetende verteller;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00635.php;Klik;
Amadis-roman;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00142.php;Klik;
amateurtoneel;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03288.php;Klik;
ambiguïteit;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00022.php;Klik;
amfibolie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00022.php;Klik;
amfibrachys;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03388.php;Klik;
amfimacer;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03389.php;Klik;
amfitheater;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03391.php;Klik;
amoebaeum;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03392.php;Klik;
ampersand;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00143.php;Klik;
amplificatio-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00144.php;Klik;
amplificatio-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00145.php;Klik;
amplitude;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01998.php;Klik;
anabaptistische literatuur;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00458.php;Klik;
anabasis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03289.php;Klik;
anacephaleosis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01668.php;Klik;
anachronie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00538.php;Klik;
anachronisme;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00147.php;Klik;
anaclasis-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03393.php;Klik;
anaclasis-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04954.php;Klik;
anacreontisch-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00540.php;Klik;
